,timestamp,tvl usd value,date
0,1690207200,26408439.99119007359478290927311231,2023-07-24 17:00:00
1,1690203600,26468709.89334219603962723843566023,2023-07-24 16:00:00
2,1690200000,26548723.05530391604219954783705297,2023-07-24 15:00:00
3,1690196400,26491748.07965677878109767014697929,2023-07-24 14:00:00
4,1690192800,26559386.16988644834799909310313648,2023-07-24 13:00:00
5,1690189200,26537312.52022541104199848144766195,2023-07-24 12:00:00
6,1690185600,26659310.82541805462514777138076453,2023-07-24 11:00:00
7,1690182000,26695453.30498255382227144495581213,2023-07-24 10:00:00
8,1690178400,26728818.31319619229770834130815431,2023-07-24 09:00:00
9,1690174800,26751148.10199263373510056901499631,2023-07-24 08:00:00
10,1690171200,26789931.39355123888691340014389516,2023-07-24 07:00:00
11,1690167600,26635357.97187689962015041340370214,2023-07-24 06:00:00
12,1690164000,26660232.61828337274311642966689544,2023-07-24 05:00:00
13,1690160400,26579812.83224636752003617659880232,2023-07-24 04:00:00
14,1690156800,26502430.84874343897103225564993294,2023-07-24 03:00:00
15,1690153200,26588413.04642262377115862673724695,2023-07-24 02:00:00
16,1690149600,26588150.44214491457542486510213354,2023-07-24 01:00:00
17,1690146000,26574748.91549797357934343512462037,2023-07-24 00:00:00
18,1690142400,26544779.35502703963802444059000965,2023-07-23 23:00:00
19,1690138800,26536172.3132764767095445495324849,2023-07-23 22:00:00
20,1690135200,26557868.66892262686165264161742866,2023-07-23 21:00:00
21,1690131600,26549142.671424768713952435088784,2023-07-23 20:00:00
22,1690128000,26597042.31399677004516016792732085,2023-07-23 19:00:00
23,1690124400,26651237.05696574784681787097833179,2023-07-23 18:00:00
24,1690120800,26656703.08405239115030251665488029,2023-07-23 17:00:00
25,1690117200,26659460.37059291176615484248825056,2023-07-23 16:00:00
26,1690113600,26658134.61029471400950507212025071,2023-07-23 15:00:00
27,1690110000,26654675.33660179113209117047555667,2023-07-23 14:00:00
28,1690106400,26660175.12933970447924470974462301,2023-07-23 13:00:00
29,1690102800,26657553.93471501092754015085968765,2023-07-23 12:00:00
30,1690099200,26662679.18329256090288751790745805,2023-07-23 11:00:00
31,1690095600,26644204.43608281051824374158107265,2023-07-23 10:00:00
32,1690092000,26593584.37766013351109873382763965,2023-07-23 09:00:00
33,1690088400,26579257.4417673619120865731342813,2023-07-23 08:00:00
34,1690084800,26575133.38802536585593797005402372,2023-07-23 07:00:00
35,1690081200,26598831.2244503298814040854348959,2023-07-23 06:00:00
36,1690077600,26657973.0031110907840081247636123,2023-07-23 05:00:00
37,1690074000,26722191.15374473318785855477026836,2023-07-23 04:00:00
38,1690070400,26710712.7754564394046152333736388,2023-07-23 03:00:00
39,1690066800,26631182.83736188064942438794101929,2023-07-23 02:00:00
40,1690063200,26564754.99469166930052274789546186,2023-07-23 01:00:00
41,1690059600,26563380.65978307075580634259725998,2023-07-23 00:00:00
42,1690056000,26572690.32198754546023188787491419,2023-07-22 23:00:00
43,1690052400,26564706.93593586601846541775828937,2023-07-22 22:00:00
44,1690048800,26575328.98706470696095516488626139,2023-07-22 21:00:00
45,1690045200,26529345.43775938000826438069459624,2023-07-22 20:00:00
46,1690041600,26543300.72275121424854477581568447,2023-07-22 19:00:00
47,1690038000,26558402.10228448517111003208670706,2023-07-22 18:00:00
48,1690034400,26476983.19311723632204878657661711,2023-07-22 17:00:00
49,1690030800,26471777.50351720102501685303014064,2023-07-22 16:00:00
50,1690027200,26498429.93681490594500354788361418,2023-07-22 15:00:00
51,1690023600,26492276.30630934861374186600952135,2023-07-22 14:00:00
52,1690020000,26441423.65549828986257974657796587,2023-07-22 13:00:00
53,1690016400,26194881.23760087100157164194992199,2023-07-22 12:00:00
