['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 1.3358869384211873, -0.23408024440389852, 0.8413858482829113, 1.021942129671558, 0.6498737199554085, 1.538802346078512]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 1.3291076117169758, 0.2745852401737636, 0.3237493898949282, 0.6504437931033209, 1.0640854861174205, 1.0323040272671875]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 1.3340895993463282, -0.09345075112889845, -0.04987411741332437, 0.27804485742569796, 0.6932370327178461, 0.661336445188013]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 1.3261842997964137, 0.4996643676457211, 0.47093578772475553, 0.6037753088010476, 0.5989982260466462, 0.8202289716946893]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 1.3254407179870862, 0.45897272729558836, 0.5267410039824227, 0.6595060429136197, 0.6547316386344875, 0.8758383418261673]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 1.336707412300059, -0.38715966524479484, 0.1468138875003575, 0.2986396867470802, 0.4903351232478741, 0.6006772875496011]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 1.335144821516487, 0.8420353731320489, 0.2635407544975408, 0.4151890716771902, 0.6066604191069018, 0.7168735950844933]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 1.3196537239446986, -0.0783373875863731, 0.11654232916839646, 0.29903277739288114, 0.6773499743955682, 0.6241849898575254]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 1.3151063076297729, 0.6024928392768771, 0.46073236687449537, 0.6425939682837054, 0.5780289491168702, 0.9666257334302628]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 1.3186623315481394, 0.3337237589075528, -0.009312046332837554, 0.16931938922134293, 0.3091937188264211, 0.4807825719232284]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 1.3155401033554521, 0.42092613734980944, 0.22748238248482266, 0.40569086813678723, 0.7110439749444026, 0.7164165920467269]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 1.3128817865550073, 0.622145943835875, 0.2205832377694179, 0.5767936084009193, 0.9116775392324143, 0.706464510914472]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 1.3096357179453266, -0.05329287392164872, 0.46728544352855295, 0.8226150925944182, 0.7052074062405609, 0.9519653869233338]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 1.3047298371905798, 0.32150564236296475, 0.39142252730600546, 0.56913479765565, 1.0771645889574302, 0.901605263179377]
[14, '2023-07-20', '06:24:32', '1689834272.003338', 1.304775764206207, 0.30115592593045903, 0.38791626527091694, 0.5656347911640296, 0.6501123925337566, 0.8981169597820156]
[15, '2023-07-20', '07:00:23', '1689836423.475319', 1.3032523952860742, 0.41755762850804956, -0.29896573039381735, -0.05460369673299681, 0.7661066768788203, 0.20218773520979028]
[16, '2023-07-20', '07:27:29', '1689838049.467298', 1.2939331864806372, -0.5473541927982097, 0.4182453086894924, 0.6608599748994237, 0.7304032106138436, 0.9158151600934019]
[17, '2023-07-20', '08:03:50', '1689840230.428077', 1.2795041247644945, 0.5738814275577226, 0.31468762312951526, 0.803141147226782, 1.8373901505705703, 0.8184506367117308]
[18, '2023-07-20', '08:30:21', '1689841821.907303', 1.2825634366828234, 0.09726381532190942, 0.07633867345884937, 0.5659600966342708, 0.719505644164002, 0.5813061913186459]
[19, '2023-07-20', '09:07:23', '1689844043.17408', 1.279288798162678, 0.3523352907916859, 0.1651202621432475, 0.19428485642687576, 0.9729884129832556, 0.642647358197209]
[20, '2023-07-20', '09:33:29', '1689845609.468542', 1.2726650767273695, -0.28272137264919195, 0.6820312472631116, 0.7110448372163773, 0.6015032913262957, 1.1570858707474514]
[21, '2023-07-20', '10:10:42', '1689847842.015333', 1.2594767655037653, 0.7564834927922277, 0.05433123701757836, 0.11411752683515886, 1.6315451567975572, 0.6374249529351914]
[22, '2023-07-20', '10:37:07', '1689849427.354425', 1.2547451192208006, 0.7501265630139073, 0.4298106146872698, 0.4893722972840351, 0.7223920044266663, 1.0107137437762077]
[23, '2023-07-20', '11:14:06', '1689851646.176876', 1.2584918202729647, 0.4537638997628477, 0.5993011931185777, 0.5399107897667221, 0.4259465250735843, 1.0450687574406885]
[24, '2023-07-20', '11:40:37', '1689853237.575295', 1.2609527820450728, 0.10595668111012913, 0.4049246259101409, 0.34541808552032194, 0.6814408941595929, 0.8515638819805389]
[25, '2023-07-20', '12:17:26', '1689855446.970511', 1.2635947766112363, -0.10334498616767007, 0.5211780149456473, 0.4760256854944771, 0.4733450025344865, 0.8889711566001637]
[26, '2023-07-20', '12:44:18', '1689857058.471394', 1.265263528225744, 0.4041478204598832, 0.3898024759915444, 0.34459051664630636, 0.7231435547681144, 0.7580813393428514]
[27, '2023-07-20', '13:20:36', '1689859236.865557', 1.2692697152549568, 0.08879880243786431, 0.2028763103484863, 0.2453736523053749, 0.4088045686838484, 0.7500502451257631]
[28, '2023-07-20', '13:48:00', '1689860880.167319', 1.268177967445988, 0.3218172272226525, 0.28871566334026966, 0.3311764516951854, 0.6607169123748662, 0.8354189527241829]
[29, '2023-07-20', '14:23:38', '1689863018.627811', 1.279755361814617, -0.5881604427354574, 2.3497821012411038, 1.9463860300211877, -0.24616688952438892, 2.3264944587994734]
[30, '2023-07-20', '14:51:52', '1689864712.641309', 1.3057754622444504, -0.6573179423797342, 0.364349140743073, -0.04724881546152915, 0.9217778598049762, 0.3405880118733364]
