['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 1.3344828605046408, -0.4351279296998456, 0.14169508567779587, 0.07397695264124593, -0.612771941421741, -0.045599270480607856]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 1.3277108334018275, 0.07454471469607427, -0.35484572717356855, -0.3247576692174903, -0.17867944795379742, -0.5355740784669791]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 1.3334724351369578, -0.3374871713976404, -0.7903356235608499, -0.7601169984642695, -0.6134048706963, -0.9718482456127759]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 1.3247452167498082, 0.31919469160065717, -0.17722665817727545, -0.3378420936433457, -0.6912561754406141, -0.7437923118414034]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 1.3240849170253173, 0.3092704381990785, -0.12729479631711627, -0.2878301753871142, -0.641068103145173, -0.6935780536832397]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 1.3353645874463356, -0.5399791522382174, -0.4876330936313593, -0.6708505278905506, -0.796655584482707, -1.0040351408281936]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 1.3337424673432685, 0.6294107047428099, -0.3655667970684675, -0.5485616698742888, -0.6742139060956873, -0.8813415503038584]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 1.3182492242431496, -0.27145360741393176, -0.48101752574102363, -0.6189744139946924, -0.7072128328796055, -0.9739736217522363]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 1.3144855191348308, 0.3836133193795206, -0.19413632604387487, -0.33169933654248496, -0.7544678508031524, -0.6856849936700655]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 1.3177609279130553, 0.13539119548464384, -0.6629063115855018, -0.8052383824043403, -1.0055258226407346, -1.1530850597627733]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 1.3141529116280233, 0.21896019255437693, -0.38729227752392603, -0.52923464455165, -0.6642291012585986, -0.8761289211748391]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 1.312057721065895, 0.378043881396124, -0.5614648930783517, -0.5299115684641578, -0.5037373191450598, -1.0628691283898348]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 1.3082813333468324, -0.2593227602248902, -0.2720271077310201, -0.24056460045332528, -0.6791096820591349, -0.7719881925117562]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 1.3033464841451354, 0.11885632578275818, -0.32512523979512764, -0.4749632403204913, -0.29934715592794703, -0.7839672945963514]
[14, '2023-07-20', '06:24:32', '1689834272.003338', 1.3033939782665431, 0.09589271307504532, -0.3287811008699322, -0.47862456151221977, -0.7154718399696378, -0.7876398759374297]
[15, '2023-07-20', '07:00:23', '1689836423.475319', 1.3020848859433534, 0.19623359394852002, -1.0181454792615483, -1.026106611407414, -0.6143160473155262, -1.5028224884486718]
[16, '2023-07-20', '07:27:29', '1689838049.467298', 1.292590928987106, -0.7584611991252643, -0.2815867991527625, -0.2894898838957829, -0.6180760594141503, -0.7627298585086777]
[17, '2023-07-20', '08:03:50', '1689840230.428077', 1.2781428223994902, 0.36777986783773997, -0.42728712936906277, -0.26821557971007337, 0.5065958340258163, -0.9851273989555835]
[18, '2023-07-20', '08:30:21', '1689841821.907303', 1.2807560099961448, -0.07529617161878832, -0.6326126505025087, -0.4732158759991023, -0.6587940601830127, -1.1915934352551432]
[19, '2023-07-20', '09:07:23', '1689844043.17408', 1.277952541866257, 0.14376030847304833, -0.5914856587143333, -0.9243048735801978, -0.4384603518590211, -1.1701000013822238]
[20, '2023-07-20', '09:33:29', '1689845609.468542', 1.2716009390892755, -0.5375727043779364, -0.09153191339173361, -0.4226969702351937, -0.9343887510368631, -0.6672704618925422]
[21, '2023-07-20', '10:10:42', '1689847842.015333', 1.2581750203125943, 0.5239311398236879, -0.8689879436157639, -1.2607949674133323, 0.13130478809809176, -1.4796094047347168]
[22, '2023-07-20', '10:37:07', '1689849427.354425', 1.2533899566485158, 0.5089588854341969, -0.4853652192340121, -0.8756821311452114, -0.9996304075628899, -1.0936643781939495]
