,timestamp,tvl usd value,date
0,1690808400,7339110.669600817438790171313676177,2023-07-31 16:00:00
1,1690804800,7328573.900657965791023690754285253,2023-07-31 15:00:00
2,1690801200,7355122.46878319584479540049687206,2023-07-31 14:00:00
3,1690797600,7378748.013621249288794708506423837,2023-07-31 13:00:00
4,1690794000,7378930.862394192368049155544210522,2023-07-31 12:00:00
5,1690790400,7319257.109765013532506360435422335,2023-07-31 11:00:00
6,1690786800,7260921.918839349361812281051385335,2023-07-31 10:00:00
7,1690783200,7228552.179361299598360037668125134,2023-07-31 09:00:00
8,1690779600,7232961.648091353236114529861856245,2023-07-31 08:00:00
9,1690776000,7253716.444174862319650053800759698,2023-07-31 07:00:00
10,1690772400,7339351.971588131541522523927676093,2023-07-31 06:00:00
11,1690768800,7348167.988759763435263409949364547,2023-07-31 05:00:00
12,1690765200,7372216.123290117396762403604874517,2023-07-31 04:00:00
13,1690761600,7417265.999600930997462955768051239,2023-07-31 03:00:00
14,1690758000,7492879.668719929378595499513349714,2023-07-31 02:00:00
15,1690754400,7524233.732364864850590799504046947,2023-07-31 01:00:00
16,1690750800,7539552.120683310735210848785127197,2023-07-31 00:00:00
17,1690747200,7572581.457634587333870556933875321,2023-07-30 23:00:00
18,1690743600,7648221.832412324695575946027254465,2023-07-30 22:00:00
19,1690740000,7695405.216457795213013566864856968,2023-07-30 21:00:00
20,1690736400,7672901.957078606591608068442784884,2023-07-30 20:00:00
21,1690732800,7701907.727023434007682104689742119,2023-07-30 19:00:00
22,1690729200,7714935.086869301686451061639844247,2023-07-30 18:00:00
23,1690725600,7748115.400254450502709074139522397,2023-07-30 17:00:00
24,1690722000,7737093.963543381947998972881136769,2023-07-30 16:00:00
25,1690718400,7755704.451403215991019199659001205,2023-07-30 15:00:00
26,1690714800,7752263.935870424062038403164039146,2023-07-30 14:00:00
27,1690711200,7763446.119838835413732451875263244,2023-07-30 13:00:00
28,1690707600,7748354.970376197544748561095353817,2023-07-30 12:00:00
29,1690704000,7759020.511754772688463833788365042,2023-07-30 11:00:00
30,1690700400,7766322.564931894213826566851325807,2023-07-30 10:00:00
31,1690696800,7767116.651584121498660746588612413,2023-07-30 09:00:00
32,1690693200,7773397.987386691414307496006696249,2023-07-30 08:00:00
33,1690689600,7801495.957775983251115742290234759,2023-07-30 07:00:00
34,1690686000,7803054.771351868129693264101675825,2023-07-30 06:00:00
35,1690682400,7802145.347010089900723240355631779,2023-07-30 05:00:00
36,1690678800,7802474.597503551031800367603369621,2023-07-30 04:00:00
37,1690675200,7803615.769715068106371138296030004,2023-07-30 03:00:00
38,1690671600,7791121.01119463534924138514789348,2023-07-30 02:00:00
39,1690668000,7807043.824320932258533862210578336,2023-07-30 01:00:00
40,1690664400,7827681.317002478635807954629242405,2023-07-30 00:00:00
41,1690660800,7840462.241299197687678813372999081,2023-07-29 23:00:00
42,1690657200,7720258.507072303713991648046555782,2023-07-29 22:00:00
43,1690653600,7700281.78358646007162244450871613,2023-07-29 21:00:00
44,1690650000,7698756.515596329553234537630874596,2023-07-29 20:00:00
45,1690646400,7679669.805150070652173520436560173,2023-07-29 19:00:00
46,1690642800,7680761.608985958427571623808258036,2023-07-29 18:00:00
47,1690639200,7679940.870144296552061723997916584,2023-07-29 17:00:00
48,1690635600,7679297.379659284431284658521814563,2023-07-29 16:00:00
49,1690632000,7678541.351243022893263257144782217,2023-07-29 15:00:00
50,1690628400,7663675.968958835080881262028132048,2023-07-29 14:00:00
51,1690624800,7664301.582756430551926877736087342,2023-07-29 13:00:00
52,1690621200,7653750.212475743989245687241684238,2023-07-29 12:00:00
53,1690617600,7634649.672402143966509850435376287,2023-07-29 11:00:00
54,1690614000,7634032.892389413496164089451239076,2023-07-29 10:00:00
55,1690610400,7607518.015732739460029167825795479,2023-07-29 09:00:00
56,1690606800,7598498.420718613509477603436242121,2023-07-29 08:00:00
57,1690603200,7568329.650736828863895940554863685,2023-07-29 07:00:00
58,1690599600,7563563.886298867529260790044272778,2023-07-29 06:00:00
59,1690596000,7568972.429682016445132060881367204,2023-07-29 05:00:00
60,1690592400,7620956.363395817398078690147276568,2023-07-29 04:00:00
61,1690588800,7674003.715953470529912588170995079,2023-07-29 03:00:00
62,1690585200,7691572.883636147220410088098672269,2023-07-29 02:00:00
63,1690581600,7701645.849150392694897819552422018,2023-07-29 01:00:00
64,1690578000,7679292.745174755521868978756413395,2023-07-29 00:00:00
65,1690574400,7675532.513816133027006414847009202,2023-07-28 23:00:00
66,1690570800,7686031.5986891707652192520264378,2023-07-28 22:00:00
67,1690567200,7656788.740441124732108226677049631,2023-07-28 21:00:00
68,1690563600,7678864.396427492021520368739405011,2023-07-28 20:00:00
69,1690560000,7611687.462434732297199521621411258,2023-07-28 19:00:00
70,1690556400,7553872.241933341726176024892876821,2023-07-28 18:00:00
71,1690552800,7517864.302406514491016936229417184,2023-07-28 17:00:00
72,1690549200,7646171.913741667999035182524671957,2023-07-28 16:00:00
73,1690545600,7675874.094340719995345384549020898,2023-07-28 15:00:00
74,1690542000,7669307.312199755444850959024678526,2023-07-28 14:00:00
75,1690538400,7674597.5777001099068352683360681,2023-07-28 13:00:00
76,1690534800,7663212.017754329221082370175991946,2023-07-28 12:00:00
77,1690531200,7612455.732193932536990931013356471,2023-07-28 11:00:00
78,1690527600,7590281.336097052620805792136244346,2023-07-28 10:00:00
79,1690524000,7530311.873321030738678331436276037,2023-07-28 09:00:00
80,1690520400,7534059.052722487122305047741412031,2023-07-28 08:00:00
81,1690516800,7506966.057964300739455600599447101,2023-07-28 07:00:00
82,1690513200,7516415.824945489500730821347715729,2023-07-28 06:00:00
83,1690509600,7516759.088840293156702096269184968,2023-07-28 05:00:00
84,1690506000,7477808.893583007962837470947376538,2023-07-28 04:00:00
85,1690502400,7484064.491433216860712322712089427,2023-07-28 03:00:00
86,1690498800,7493099.928596178236501131151147019,2023-07-28 02:00:00
