['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 3.329401e-05, -0.019562299217795953, -0.09602288502132694, -0.20419520535017455, -0.5056966425490828, -0.42782790822644756]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 3.33019e-05, -0.04326489156220248, -0.29438532398472717, -0.3724631695745728, -0.588050330425105, -0.5563490116062724]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 3.325733e-05, -0.14774393465184232, -0.16015512228781859, -0.2381284714501959, -0.4534270986206934, -0.42176820764470335]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 3.322873e-05, -0.06162080099885259, -0.16090969283330026, -0.2696178962646485, -0.38338250575041855, -0.49033464017252015]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 3.324824e-05, -0.007608801164309398, -0.21971842094622218, -0.3284904515851963, -0.4423218571095475, -0.5493367876765092]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 3.33196e-05, -0.22225303388312057, -0.27937169151222463, -0.39907736318566833, -0.4754185539521387, -0.6374101532802712]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 3.334394e-05, 0.1493073591380636, -0.3526258694426758, -0.4724189862249659, -0.548815944305062, -0.7109258786530717]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 3.330179e-05, -0.11808488787616511, -0.21400709477033786, -0.35353715557293697, -0.5431623328774009, -0.5464384667474462]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 3.331547e-05, 0.04848007849554392, -0.25517387941034997, -0.39476125758933733, -0.4836394983504846, -0.5877418104483496]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 3.335578e-05, -0.07245610424587312, -0.31446262222335974, -0.4322023574528515, -0.6052195183285392, -0.6574817704102855]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 3.333933e-05, -0.0028207721227175853, -0.26499074927853883, -0.3826724190499817, -0.4951816471426298, -0.6078407314322476]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 3.335188e-05, -0.04046506193569144, -0.45498830847407135, -0.467135705634405, -0.5330112774822879, -0.7933744865208752]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 3.329826e-05, -0.2502412905535607, -0.2934862740130342, -0.30561414173648416, -0.5122557092233393, -0.631328426749505]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 3.3158359999999995e-05, 0.1709521518830286, -0.18582383174035044, -0.3025066719187208, -0.08996143397530432, -0.5239638463798713]
[14, '2023-07-20', '06:24:32', '1689834272.003338', 3.318048e-05, -0.1918068601430889, -0.25265797019467584, -0.3694186496999805, -0.49398560828824145, -0.5910235586298711]
[15, '2023-07-20', '07:00:23', '1689836423.475319', 3.317541e-05, -0.17649748364279105, -0.3443170982666004, -0.41565939351792736, -0.4786300586689123, -0.6795032593028907]
[16, '2023-07-20', '07:27:29', '1689838049.467298', 3.308346e-05, -0.08768191922878543, -0.06619966257595422, -0.13734422329896745, -0.5132497535846738, -0.4004568112049469]
[17, '2023-07-20', '08:03:50', '1689840230.428077', 3.3085160000000004e-05, -0.09282494415008102, -0.25235898098983967, -0.3453192739587223, -0.5184146463915766, -0.592019587852235]
[18, '2023-07-20', '08:30:21', '1689841821.907303', 3.3095689999999995e-05, -0.3129279824205895, -0.28426625724509336, -0.37725613664743207, -0.5066835023417013, -0.6240349677463968]
[19, '2023-07-20', '09:07:23', '1689844043.17408', 3.304711e-05, -0.16568216154827553, -0.35335441175944027, -0.4902564351963008, -0.35915327455241197, -0.6841634156365046]
[20, '2023-07-20', '09:33:29', '1689845609.468542', 3.300983e-05, -0.3190624553351995, -0.24014714333354448, -0.37689472944038016, -0.6950911017637793, -0.5705829660257962]
[21, '2023-07-20', '10:10:42', '1689847842.015333', 3.2896960000000004e-05, 0.023956959770316644, -0.24876027067656992, -0.38186287177012446, -0.35078593773671685, -0.5816042870204825]
[22, '2023-07-20', '10:37:07', '1689849427.354425', 3.289384e-05, 0.1478980319969736, -0.23925251883430576, -0.3723424962655173, -0.5046750823822777, -0.5720649677224117]
[23, '2023-07-20', '11:14:06', '1689851646.176876', 3.299444e-05, -0.1574819862064487, -0.3177574431916099, -0.41646000173575715, -0.812050880199962, -0.6822744622840133]
[24, '2023-07-20', '11:40:37', '1689853237.575295', 3.3013380000000003e-05, -0.17102519648078385, -0.3753434584709936, -0.47410267584793075, -0.589808943065421, -0.7400697234951821]
[25, '2023-07-20', '12:17:26', '1689855446.970511', 3.298799e-05, -0.0939854529059545, -0.1462569008341319, -0.33768949403058457, -0.5124471204024701, -0.563798848099708]
[26, '2023-07-20', '12:44:18', '1689857058.471394', 3.3044539999999994e-05, -0.03376462789776724, -0.3179336482728701, -0.5096944067544769, -0.5558513931255362, -0.7361913711015404]
[27, '2023-07-20', '13:20:36', '1689859236.865557', 3.309763e-05, -0.19448081774625336, -0.5285724346667848, -0.6368072075076299, -0.7174063777148803, -0.8399826200599989]
[28, '2023-07-20', '13:48:00', '1689860880.167319', 3.303805e-05, -0.055603187068058446, -0.3476080470155267, -0.45564798331471934, -0.578720858185136, -0.6584576539369351]
[29, '2023-07-20', '14:23:38', '1689863018.627811', 3.315736e-05, -0.4169330481297493, 1.1587681330754833, 0.3082979841586706, -0.9419398491846067, 0.32139997549610655]
[30, '2023-07-20', '14:51:52', '1689864712.641309', 3.361058e-05, -0.3099634809390892, -0.1922689551223442, -1.0543639764925814, -0.56615426494632, -1.0410828971784696]
[31, '2023-07-20', '15:26:24', '1689866784.511339', 3.3511239999999995e-05, -0.013485652463742781, -0.2009704130310439, -0.34476368550195957, -0.2689192346469298, -0.5364757852304365]
[32, '2023-07-20', '15:55:39', '1689868539.483326', 3.354588e-05, -0.2733970856332206, -0.3045464554307813, -0.4484883645668418, -0.5247047413918295, -0.6403986338388705]
[33, '2023-07-20', '16:59:37', '1689872377.997273', 3.364007e-05, -0.22033293053820557, -0.43293386032908643, -0.5924263597490977, -0.8069576421829794, -0.8031761013019434]
[34, '2023-07-20', '17:31:36', '1689874296.460649', 3.362097e-05, -0.1634303034338842, -0.37591052367336886, -0.643123132268812, -0.622562067797432, -0.8366459460255982]
[35, '2023-07-20', '18:03:35', '1689876215.435969', 3.3582660000000003e-05, -0.03193738770755772, -0.2891053930701304, -0.5284435722443135, -0.4986465762941492, -0.7217458730594615]
[36, '2023-07-20', '18:34:12', '1689878052.864706', 3.363555e-05, -0.18947967793815224, -0.44705270231362704, -0.4397558951610989, -0.6569238961199062, -0.6027821536239912]
[37, '2023-07-20', '19:07:12', '1689880032.070737', 3.364485e-05, -0.11909955744809508, -0.2952681115001923, -0.4675268021278356, -0.51871450690156, -0.6305981362384614]
