,timestamp,tvl usd value,date
0,1690207200,7303722.664645696877726877533245237,2023-07-24 17:00:00
1,1690203600,7257680.039661660334450843534813821,2023-07-24 16:00:00
2,1690200000,7234591.202462788788379906169664193,2023-07-24 15:00:00
3,1690196400,7171634.099490997164806678407808687,2023-07-24 14:00:00
4,1690192800,7065380.468292743500132115997114665,2023-07-24 13:00:00
5,1690189200,7094977.401766191279759057704617828,2023-07-24 12:00:00
6,1690185600,6743589.249656400974342319083801865,2023-07-24 11:00:00
7,1690182000,6735090.251859774043539186987404166,2023-07-24 10:00:00
8,1690178400,6698317.781926215682883425328502263,2023-07-24 09:00:00
9,1690174800,6699008.292773627849989669006415381,2023-07-24 08:00:00
10,1690171200,6679505.930902113347302132065402913,2023-07-24 07:00:00
11,1690167600,6758171.369779225366352763805804598,2023-07-24 06:00:00
12,1690164000,6802153.163213397757840676738901869,2023-07-24 05:00:00
13,1690160400,6672727.049061924705692649866287115,2023-07-24 04:00:00
14,1690156800,6647334.976743688399746455034841703,2023-07-24 03:00:00
15,1690153200,6611739.382382668948463123615527704,2023-07-24 02:00:00
16,1690149600,6594576.405477067711187982536449539,2023-07-24 01:00:00
17,1690146000,6564036.552802546354360302362047283,2023-07-24 00:00:00
18,1690142400,6558453.911876065634371282864323538,2023-07-23 23:00:00
19,1690138800,6551570.265837259933375289473353617,2023-07-23 22:00:00
20,1690135200,6589099.458473375207621616729160555,2023-07-23 21:00:00
21,1690131600,6659788.124229383424823809401338328,2023-07-23 20:00:00
22,1690128000,6689624.456669501081531801268285413,2023-07-23 19:00:00
23,1690124400,6542562.569378721497144824808072997,2023-07-23 18:00:00
24,1690120800,6556488.579436640482715772969494505,2023-07-23 17:00:00
25,1690117200,6553506.025909068037520218519755962,2023-07-23 16:00:00
26,1690113600,6547910.096565046570318469499609302,2023-07-23 15:00:00
27,1690110000,6554291.316953936419092072499457386,2023-07-23 14:00:00
28,1690106400,6552010.793129839469316022748070578,2023-07-23 13:00:00
29,1690102800,6550940.303703620731962041583858139,2023-07-23 12:00:00
30,1690099200,6541380.019303912115188244109427542,2023-07-23 11:00:00
31,1690095600,6532419.809768737387957035690921237,2023-07-23 10:00:00
32,1690092000,6531531.474267972749420020977135515,2023-07-23 09:00:00
33,1690088400,6530687.557359535440077395201621513,2023-07-23 08:00:00
34,1690084800,6527200.427327810312255373903562651,2023-07-23 07:00:00
35,1690081200,6536477.865436177156889965032518419,2023-07-23 06:00:00
36,1690077600,6523074.575018095504506404958312747,2023-07-23 05:00:00
37,1690074000,6513194.856129145116550681411459036,2023-07-23 04:00:00
38,1690070400,6493028.505934206614112490752043889,2023-07-23 03:00:00
39,1690066800,6549812.057311415132452276970425268,2023-07-23 02:00:00
40,1690063200,6991600.227659179203426195451641808,2023-07-23 01:00:00
41,1690059600,7020559.472592454073377119245726664,2023-07-23 00:00:00
42,1690056000,7014947.003270635635282483641725756,2023-07-22 23:00:00
43,1690052400,6999247.132849627935164134317013155,2023-07-22 22:00:00
44,1690048800,6955223.564404918060542284394089856,2023-07-22 21:00:00
45,1690045200,7003268.473024914946749858107882353,2023-07-22 20:00:00
46,1690041600,7006114.512315092969364673123870766,2023-07-22 19:00:00
47,1690038000,6964047.625065673088979115938443075,2023-07-22 18:00:00
48,1690034400,6984260.674709881594789909399085685,2023-07-22 17:00:00
49,1690030800,6954475.948349182601556226252946275,2023-07-22 16:00:00
50,1690027200,6953362.149702912864069548260059761,2023-07-22 15:00:00
51,1690023600,6931750.045405916800455370052837742,2023-07-22 14:00:00
52,1690020000,6915395.409190371273705395661270896,2023-07-22 13:00:00
53,1690016400,6979642.337826894447866691872969897,2023-07-22 12:00:00
54,1690012800,6992358.939599481892679813098584286,2023-07-22 11:00:00
55,1690009200,6991009.575390052578178123640500408,2023-07-22 10:00:00
56,1690005600,7114275.104150250145652430891600467,2023-07-22 09:00:00
57,1690002000,7132973.737989067334061951152811865,2023-07-22 08:00:00
58,1689998400,7096195.184460115227482401427183834,2023-07-22 07:00:00
59,1689994800,7076559.387273933140621630262741215,2023-07-22 06:00:00
60,1689991200,7041766.507948063557668399262951386,2023-07-22 05:00:00
61,1689987600,7024221.302881645162580871157135201,2023-07-22 04:00:00
