['N', 'date', 'time', 'timestamp','1000','50 000','100 000','200 000','300 000','400 000','500 000'
[0,'2023-07-28','12:50:30',1690548630.591300,3.415935E-05,0.10136804128961800,0.2654242740970720,0.42415859655091000,0.5795329106727390,0.6318222980889200,0.7716534626295726]
[1,'2023-07-28','13:11:02',1690549862.935280,3.417541E-05,0.054400753292114200,0.14009176265980700,0.293486649137094,0.4499322642860340,0.6129765450725130,0.7250013089618221]
[2,'2023-07-28','13:31:29',1690551089.563260,3.416977E-05,0.20669823107894600,0.28366700752839300,0.41749568372362900,0.5444488293621530,0.6293784788689580,0.8656965813383266]
[3,'2023-07-28','13:51:04',1690552264.823270,3.419462E-05,0.0833622874191775,0.16463048520650100,0.30606465735365900,0.4721196785779820,0.5955197600551690,0.7364768184053929]
[4,'2023-07-28','14:12:45',1690553565.999310,3.410469E-05,0.08247365148976370,0.11552291721160700,0.29318426370603800,0.6166944849039600,0.7568867166055500,0.8986038374837477]
[5,'2023-07-28','14:34:20',1690554860.075290,3.401611E-05,0.14114704959406800,0.37495254345928700,0.5521524507184670,0.5435251291470140,0.6741054618299390,0.8077752306462855]
[6,'2023-07-28','14:54:45',1690556085.059270,3.398321E-05,0.23772941195321100,0.2968204256053040,0.41780790702713900,0.5231429327767640,0.6433635755054890,0.766718497327247]
[7,'2023-07-28','15:11:57',1690557117.827400,3.394495E-05,0.183681703726279,0.2514208588200400,0.4046851577017490,0.47150879736494700,0.5371851115488370,0.6548277386563655]
[8,'2023-07-28','15:14:13',1690557253.8713,3.394495E-05,0.05664495625082110,0.13396748646683000,0.2716053725071110,0.47057544106193900,0.7587158643649020,0.7032590221853781]
[9,'2023-07-28','15:34:27',1690558467.743310,3.405815E-05,-0.27664726515330100,-0.19906687889626100,-0.060969996489816900,0.138663599681351,0.4277649168998470,0.37212313662099916]
[10,'2023-07-28','15:54:09',1690559649.147290,3.404924E-05,0.10151790051175200,0.15850872270655700,0.2760200252974560,0.38984782965823700,0.5093852742172370,0.6336612913409851]
[11,'2023-07-28','16:13:25',1690560805.459260,3.408349E-05,0.0793724773431137,0.14883272959544100,0.251505527104527,0.35015780042793700,0.40930804622748000,0.5967735340232849]
[12,'2023-07-28','16:34:18',1690562058.655310,3.405907E-05,0.07334746157575010,0.1294947649815160,0.2662495327744380,0.36716365772370800,0.5294060970705060,0.66799355258064]
[13,'2023-07-28','16:54:14',1690563254.275300,3.407179E-05,0.06843852470846910,0.12563575985309700,0.24544377471365000,0.32995390190025400,0.45398828333853200,0.5780014862011171]
[14,'2023-07-28','17:15:05',1690564505.567320,3.41381E-05,-0.1260467618416780,-0.06873821030707460,0.2830266293473470,0.16764074692548500,0.5000349712002360,0.505928523612468]
[15,'2023-07-28','17:35:02',1690565702.468280,3.422265E-05,-0.1430389523154790,-0.08242035228929010,0.03605711146295220,0.1502695022058730,0.28281458889841800,0.408142913028783]
[16,'2023-07-28','17:43:44',1690566224.949450,3.424132E-05,0.09502394248328020,0.15947334752876000,0.28084087484643300,0.3987527460855770,0.5315260048654980,0.6761191648573259]
[17,'2023-07-28','17:54:15',1690566855.895120,3.422395E-05,0.03103529125765190,0.09777232564890430,0.2117711138269980,0.35022136299113500,0.5819845559171310,0.7265043664239101]
[18,'2023-07-28','18:13:26',1690568006.363290,3.420873E-05,0.07549327003765430,0.14220062528130500,0.2561487161682980,0.39453739404120800,0.5249921556384440,0.663937122380645]
