['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 0.0005223710156301405, 0.2207190016273728, 0.22411933769636505, 0.16124215643087325, -0.24002851068792097, 0.033961473504163564]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 0.0005233182971077004, 0.03977660263156224, -0.2035925266267924, -0.20459205513350298, -0.26264904974952685, -0.24513614452182253]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 0.0005232428576310233, -0.13276582741148957, -0.18914757673081795, -0.19014696114948038, -0.24819558650091267, -0.23068520586372188]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 0.0005224845410722542, 0.012352893837871193, -0.025580797216150586, -0.07984754655878135, -0.15209750057944404, -0.207567092150029]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 0.000523039119285096, 0.09000621584871737, -0.131750460577166, -0.1860748100103251, -0.2584014519465825, -0.31392992033462974]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 0.0005254789811709393, -0.37605182237597035, -0.17524033779201886, -0.2410006539471965, -0.20772640963724598, -0.32419388908579094]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 0.0005259061547560299, 0.649198066307676, -0.2566750251643839, -0.32248879934741126, -0.2891875056620279, -0.40574966412255264]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 0.0005268456041713593, -0.0477581647169103, -0.13066238189401247, -0.2475740811417353, -0.28387930766146496, -0.3230654653940661]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 0.0005268593929733575, 0.08619595425861348, -0.133283039381908, -0.25019779848673807, -0.27791325850681403, -0.3256911585280733]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 0.0005275787560497087, -0.050224317272807184, -0.2464650219813933, -0.31080848228485536, -0.41483067733581436, -0.4465812228531547]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 0.0005270431063435979, 0.048251853729027516, -0.1446849769891827, -0.20896310949994756, -0.275088171043393, -0.3445980002633604]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 0.0005272467163988259, 0.00963797050916071, -0.4350763447380075, -0.2676214867984328, -0.3138269686763522, -0.6302248658645198]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 0.0005258882523619351, -0.14721938354763608, -0.17630291853521385, -0.009279512125317524, -0.26397701662905604, -0.3709486347327271]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 0.0005237959626179444, 0.2512245806677669, 0.008506348572339562, -0.05900785484709559, 0.13493147745009537, -0.18514143649345272]
[14, '2023-07-20', '06:24:32', '1689834272.003338', 0.0005245442163998357, -0.12794924466443547, -0.13433364757366917, -0.201944296482651, -0.2771033191845049, -0.3282580626593017]
[15, '2023-07-20', '07:00:23', '1689836423.475319', 0.0005244199680918292, -0.10423202905352014, -0.35471866737567836, -0.38231489241537986, -0.2533507735845859, -0.5461618668955737]
[16, '2023-07-20', '07:27:29', '1689838049.467298', 0.0005229918071484478, -0.09374883898044573, -0.0814211226497008, -0.10894219446645081, -0.29902614926511717, -0.27234296196772334]
[17, '2023-07-20', '08:03:50', '1689840230.428077', 0.0005222836723708268, 0.04177883775662394, -0.10990079488448146, -0.14415716593445893, -0.16322052553064736, -0.30012085411851785]
[18, '2023-07-20', '08:30:21', '1689841821.907303', 0.0005224071366808977, -0.17768187546192848, -0.1335660949632853, -0.16783056398652718, -0.24968365100977508, -0.32383112092635713]
[19, '2023-07-20', '09:07:23', '1689844043.17408', 0.0005219621003902685, -0.09234095874141701, -0.21482562199545896, -0.33061156176634654, -0.1642813963004386, -0.401043181089733]
[20, '2023-07-20', '09:33:29', '1689845609.468542', 0.0005215380304517945, -0.16880620975732086, -0.13340573556322965, -0.24909760464140618, -0.40972893001304556, -0.319472001548732]
[21, '2023-07-20', '10:10:42', '1689847842.015333', 0.0005201794234658919, 0.09213361042839097, -0.3498361749264518, -0.4616875392722335, -0.14816150594863586, -0.5959575033327837]
[22, '2023-07-20', '10:37:07', '1689849427.354425', 0.0005191020377497671, 0.23129616478330206, -0.14199350519920984, -0.25361320512914176, -0.2732423007243767, -0.38760507179702586]
[23, '2023-07-20', '11:14:06', '1689851646.176876', 0.0005203510084256478, -0.008749484047086753, -0.16572179427100764, -0.21050685334898844, -0.5145018799623529, -0.36818560904882247]
[24, '2023-07-20', '11:40:37', '1689853237.575295', 0.0005202601550814242, -0.041844159544396575, -0.14823284805157755, -0.19301008765323502, -0.24680367731319564, -0.3506613126247089]
[25, '2023-07-20', '12:17:26', '1689855446.970511', 0.0005202660408396687, -0.04297594352459555, 0.011309139976404481, -0.09618871395659312, -0.24793778002212719, -0.22943805635620151]
[26, '2023-07-20', '12:44:18', '1689857058.471394', 0.0005209735616317795, 0.05697915951199661, -0.12466759539772454, -0.2323116379357657, -0.26325324231066816, -0.3657421889342203]
[27, '2023-07-20', '13:20:36', '1689859236.865557', 0.000522101699438299, -0.1594416123113973, -0.4038051085240113, -0.459831575045726, -0.48036745868859043, -0.5672374443814334]
[28, '2023-07-20', '13:48:00', '1689860880.167319', 0.0005206318301128907, 0.055842855551759385, -0.12113896619565878, -0.17700770179131098, -0.2576881060912939, -0.2841111921214008]
[29, '2023-07-20', '14:23:38', '1689863018.627811', 0.0005225586343159901, -0.31404006539719376, 1.2410895955114967, 0.6365167145408748, -0.6287313724892982, 0.7486142206702624]
[30, '2023-07-20', '14:51:52', '1689864712.641309', 0.000529953303530301, -0.3713698593708301, -0.15643678038101427, -0.7695649050642714, -0.4987510152111412, -0.6558811195718874]
[31, '2023-07-20', '15:26:24', '1689866784.511339', 0.0005277848131577482, 0.03933490984198329, 0.1662463607613489, 0.02335804412140874, -0.08752502118804273, -0.049551064009563106]
[32, '2023-07-20', '15:55:39', '1689868539.483326', 0.0005295951003800056, -0.2286941922388479, -0.17618063610848367, -0.3195590556982921, -0.33023528085759324, -0.3927182400412761]
[33, '2023-07-20', '16:59:37', '1689872377.997273', 0.0005304591158689121, -0.25107355513826235, -0.15193377613819337, -0.29735343709056394, -0.4939204758793778, -0.4362112417378512]
[34, '2023-07-20', '17:31:36', '1689874296.460649', 0.0005297263829776723, -0.1125949113023097, -0.013592075894550248, -0.4681548660964552, -0.24890050938817865, -0.5913442685849049]
[35, '2023-07-20', '18:03:35', '1689876215.435969', 0.0005288696432783866, 0.011865549960461408, -0.11950653268100098, -0.30566521190191054, -0.2473478369291513, -0.42865537709533896]
[36, '2023-07-20', '18:34:12', '1689878052.864706', 0.0005296885690396035, -0.14296061591582543, -0.2745361210530888, -0.27196838694661096, -0.40257538057949205, -0.27772652870359593]
[37, '2023-07-20', '19:07:12', '1689880032.070737', 0.0005303756361763973, -0.052812316472923726, -0.14674899338361058, -0.4020326893445514, -0.2995129687338789, -0.4077983000751857]
[38, '2023-07-20', '19:36:46', '1689881806.342437', 0.000529794487941799, 0.056818502286930084, -0.037015245435000566, -0.264551601636569, -0.18961183278980798, -0.3851951059050549]
[39, '2023-07-20', '20:10:28', '1689883828.583441', 0.0005298215288039744, 0.07275546368813934, -0.10907282383790573, -0.2696691330240384, -0.24344880357141108, -0.3903187949714777]
[40, '2023-07-20', '20:39:26', '1689885566.111306', 0.000530648202116464, -0.08315965443712514, -0.2652716461627591, -0.398748157037943, -0.39985729090653876, -0.5892271479187627]
[41, '2023-07-20', '21:13:06', '1689887586.58425', 0.0005288050878393891, -0.152484846192948, -0.18416858683671933, -0.050030559596507373, -0.31349699870708037, -0.23984795481719345]
[42, '2023-07-21', '02:55:34', '1689908134.912095', 0.0005265536869410938, -0.028627472046977687, -0.1575232447479351, -0.23828168749344059, -0.27946881554255754, -0.33101898118152917]
[43, '2023-07-21', '03:29:24', '1689910164.662616', 0.0005265863625659519, 0.02161009357706689, -0.07729667146752206, -0.2445020379915377, -0.20145387817321136, -0.3372450865515333]
[44, '2023-07-21', '03:58:17', '1689911897.855338', 0.0005268579445956189, -0.029952833197768314, -0.1289106084885816, -0.09841641326322303, -0.2531318481214271, -0.22617877330738168]
[45, '2023-07-21', '04:32:11', '1689913931.025209', 0.0005276135507659251, -0.12950191576453562, -0.22520818109994423, -0.24197499837251257, -0.34968967174089016, -0.36992059192121474]
