,timestamp,tvl usd value,date
0,1690207200,26251181.85556999648006045515159599,2023-07-24 17:00:00
1,1690203600,26163668.2124248928596826153706206,2023-07-24 16:00:00
2,1690200000,26248138.91666631715308130397996719,2023-07-24 15:00:00
3,1690196400,26230793.42471696458270259993762158,2023-07-24 14:00:00
4,1690192800,26440284.18455342813886270420186616,2023-07-24 13:00:00
5,1690189200,26673800.5799951360182557464517425,2023-07-24 12:00:00
6,1690185600,26762248.80736020033063712135510482,2023-07-24 11:00:00
7,1690182000,26660766.79565173177089492619041639,2023-07-24 10:00:00
8,1690178400,26796611.26201230483853141551945881,2023-07-24 09:00:00
9,1690174800,26791956.28966502977539858101365254,2023-07-24 08:00:00
10,1690171200,26733172.57365700196100247733270447,2023-07-24 07:00:00
11,1690167600,26915328.27968561399692983349851725,2023-07-24 06:00:00
12,1690164000,26716291.57688486452017906248020298,2023-07-24 05:00:00
13,1690160400,26853415.90003873137508217032008676,2023-07-24 04:00:00
14,1690156800,26744997.13857251150090501480855393,2023-07-24 03:00:00
15,1690153200,26648994.29693221346299136664906862,2023-07-24 02:00:00
16,1690149600,26806800.32962687162446479929755098,2023-07-24 01:00:00
17,1690146000,26942503.68134333639029486476706337,2023-07-24 00:00:00
18,1690142400,26652460.93582970491129576096142541,2023-07-23 23:00:00
19,1690138800,26751781.57234023863313769208160798,2023-07-23 22:00:00
20,1690135200,26312625.8679127620355733255270817,2023-07-23 21:00:00
21,1690131600,26528781.43606191089870148577657338,2023-07-23 20:00:00
22,1690128000,26723972.01039313681451537842497768,2023-07-23 19:00:00
23,1690124400,27088558.37945725622889403776976289,2023-07-23 18:00:00
24,1690120800,27035707.98528358824359398481713986,2023-07-23 17:00:00
25,1690117200,27094022.94263305190058694827712859,2023-07-23 16:00:00
26,1690113600,27117476.93495479413519730322119426,2023-07-23 15:00:00
27,1690110000,27077967.87004858607049953110712589,2023-07-23 14:00:00
28,1690106400,27064426.07359516294948042440611817,2023-07-23 13:00:00
29,1690102800,26960459.13325458552772471466066741,2023-07-23 12:00:00
30,1690099200,26915665.61093109415850458108240691,2023-07-23 11:00:00
31,1690095600,27071127.134118726403881702104166,2023-07-23 10:00:00
32,1690092000,27232425.90438055253037156843957363,2023-07-23 09:00:00
33,1690088400,27223822.60075126734312672095932793,2023-07-23 08:00:00
34,1690084800,27257054.75854544067654400535571477,2023-07-23 07:00:00
35,1690081200,27308511.83478707665748777889681188,2023-07-23 06:00:00
36,1690077600,27181376.18596670785193595858804152,2023-07-23 05:00:00
37,1690074000,27146861.89999653130744441551683945,2023-07-23 04:00:00
38,1690070400,27355611.42581525300072654202466111,2023-07-23 03:00:00
39,1690066800,27245836.65718226698104799954995544,2023-07-23 02:00:00
40,1690063200,26681859.30705139611752201908008927,2023-07-23 01:00:00
41,1690059600,26557520.4905363797606039340248804,2023-07-23 00:00:00
42,1690056000,26572544.97987863585673887561100859,2023-07-22 23:00:00
43,1690052400,26608617.60399191256426098347893296,2023-07-22 22:00:00
44,1690048800,26763753.24522691684495223220159912,2023-07-22 21:00:00
45,1690045200,26777932.64265437197948451865634065,2023-07-22 20:00:00
46,1690041600,26643662.82435521364474710523474006,2023-07-22 19:00:00
47,1690038000,26701150.2979445506394324167022923,2023-07-22 18:00:00
48,1690034400,26721154.72576199562970165285728349,2023-07-22 17:00:00
49,1690030800,26806649.68192637346694294526244878,2023-07-22 16:00:00
50,1690027200,26788197.38365276831086023542424296,2023-07-22 15:00:00
