['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 0.0005229010267486483, 0.27435103865815336, 0.4815817154413935, 0.5460563070590609, 0.251240788115652, 0.6673069733140693]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 0.000523849396257433, 0.09348169650603211, 0.05517210646810611, 0.17994554902843163, 0.24640466946506479, 0.39640238380792425]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 0.0005237738796392361, -0.06557106478385322, 0.06957986461904397, 0.1943353201997411, 0.26078486008123036, 0.4107609511861767]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 0.000522948705965649, 0.09207611481966183, 0.25058252617301946, 0.3152928835177562, 0.36806718994301946, 0.4383969617759078]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 0.0005235698258046773, 0.1581300735907547, 0.1321075372921996, 0.19689475281877833, 0.24973174066640524, 0.32014504500652663]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 0.000526012856465343, -0.30774236104299746, 0.10163430951770636, 0.16740154945371444, 0.330565961280584, 0.34706530813689085]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 0.0005263668350841326, 0.7381270825651427, 0.03440803344513199, 0.10021953122858918, 0.26349374400884074, 0.2800041940462563]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 0.000527380824735115, 0.01785427548888663, 0.14288100180176855, 0.1632662094976638, 0.26927489310286035, 0.34891293155152425]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 0.0005273946313989142, 0.15778571339613734, 0.14026677389415454, 0.16065251526836732, 0.2684882442073899, 0.3463040974949081]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 0.0005281147304442474, 0.021462211200002912, 0.03329129862758862, 0.1050480772208715, 0.13231589407463673, 0.24011273898501884]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 0.0005275784119784052, 0.12084049976246547, 0.13481089040439542, 0.20649479754912647, 0.27659102568635774, 0.3414222965567433]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 0.000527462420703848, 0.14279953134733603, -0.09849505028066119, 0.207600436947331, 0.2985158145850164, 0.10531087984470844]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 0.0005264225432564395, -0.07726448525902185, 0.09884634018924032, 0.40433836870353446, 0.27704242989885586, 0.30225047260907445]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 0.0005242999991599093, 0.32624864245785545, 0.2878172104159944, 0.3533402705109978, 0.6791269864787921, 0.4890866359899064]
[14, '2023-07-20', '06:24:32', '1689834272.003338', 0.0005250636586385595, -0.05729065504814912, 0.14258327250608716, 0.20820176900389242, 0.2614773162217716, 0.3441458533438606]
[15, '2023-07-20', '07:00:23', '1689836423.475319', 0.0005247747450032988, -0.002234634503054167, -0.05156395134383729, 0.05370537007672738, 0.3163579362951765, 0.14936463857797833]
[16, '2023-07-20', '07:27:29', '1689838049.467298', 0.0005235228169299172, -0.029745779492714064, 0.1871239102369202, 0.29214209606071506, 0.22659390472972518, 0.38757315517335655]
[17, '2023-07-20', '08:03:50', '1689840230.428077', 0.0005227224933980498, 0.12317240639173122, 0.17341640761576116, 0.2717344011138749, 0.37912021718516087, 0.37543256949055603]
