['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[0, '2023-07-19', '17:47:15', '1689788835.807359', 3.332823e-05, 0.2211394212180977, 0.512954745987372, 0.6430992599622414, 0.5862464177697433, 0.9116512330731013]
[1, '2023-07-19', '18:24:39', '1689791079.323281', 3.334847e-05, 0.1605444199799848, 0.2810879168616509, 0.4397716835228209, 0.43913446314901705, 0.741995865711786]
[2, '2023-07-19', '18:50:06', '1689792606.527365', 3.33006e-05, 0.022244499680269314, 0.42422924602666967, 0.5826852303664936, 0.5820489246895164, 0.8844755854083246]
[3, '2023-07-19', '19:27:20', '1689794840.923276', 3.326842e-05, 0.11885789919861622, 0.4223136991286083, 0.5461184204770859, 0.6695187911121678, 0.8036944345415407]
[4, '2023-07-19', '19:53:04', '1689796384.776746', 3.328881e-05, 0.20363503191677523, 0.3612831775807024, 0.4851637780442246, 0.6086397799704031, 0.742897658786049]
[5, '2023-07-19', '20:30:19', '1689798619.607372', 3.336419e-05, -0.022346311101912875, 0.31649079977822225, 0.4325781543383158, 0.5929187168248546, 0.6795875678881629]
[6, '2023-07-19', '20:56:10', '1689800170.344312', 3.3382509999999995e-05, 0.35009115191523676, 0.2617554116705776, 0.37790650883420085, 0.5383351129937068, 0.6250515532042868]
[7, '2023-07-20', '02:48:17', '1689821297.311322', 3.3343299999999996e-05, 0.06973027905125662, 0.3913621121179176, 0.4737093010928106, 0.549963106353232, 0.7401503696834482]
[8, '2023-07-20', '03:15:30', '1689822930.147753', 3.336175e-05, 0.25706436384346887, 0.3362452110003886, 0.41863796552028987, 0.5638393265916619, 0.6852264651605111]
[9, '2023-07-20', '03:51:07', '1689825067.339302', 3.33992e-05, 0.14509862644739258, 0.28352863383993565, 0.40062036750772734, 0.45221795729241876, 0.6321492574570158]
[10, '2023-07-20', '04:18:39', '1689826719.080977', 3.338638e-05, 0.20333824134660006, 0.32180395668940776, 0.43885074568709115, 0.5532128500538533, 0.6702907652332186]
[11, '2023-07-20', '04:54:00', '1689828840.191317', 3.339451e-05, 0.1790365093200137, 0.11647092869213793, 0.35636393183902726, 0.5289963168589082, 0.46917845683697124]
[12, '2023-07-20', '05:21:37', '1689830497.561841', 3.334139e-05, -0.050382599938885164, 0.27535372302773453, 0.5148651330227381, 0.5214826001454611, 0.6275002061416615]
[13, '2023-07-20', '05:57:01', '1689832621.779297', 3.320151e-05, 0.3693673720352848, 0.3878223746749967, 0.5008546193290897, 0.9388333768794723, 0.720498499272594]
