['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000']
[0, '2023-07-19', '16:44:15', '1689785055.396526', 3.346814e-05, 0.15317062477278398, 0.2703693305504373, 0.3885131352073614]
[1, '2023-07-19', '17:21:59', '1689787319.202214', 3.340857e-05, 0.3308881682598752, 0.2731343530139867, 0.40359258932733155]
[2, '2023-07-19', '17:47:15', '1689788835.807359', 3.332823e-05, 0.2211394212180977, 0.512954745987372, 0.6430992599622414]
[3, '2023-07-19', '18:24:39', '1689791079.323281', 3.334847e-05, 0.1605444199799848, 0.2810879168616509, 0.4397716835228209]
[4, '2023-07-19', '18:50:06', '1689792606.527365', 3.33006e-05, 0.022244499680269314, 0.42422924602666967, 0.5826852303664936]
[5, '2023-07-19', '19:27:20', '1689794840.923276', 3.326842e-05, 0.11885789919861622, 0.4223136991286083, 0.5461184204770859]
[6, '2023-07-19', '19:53:04', '1689796384.776746', 3.328881e-05, 0.20363503191677523, 0.3612831775807024, 0.4851637780442246]
[7, '2023-07-19', '20:30:19', '1689798619.607372', 3.336419e-05, -0.022346311101912875, 0.31649079977822225, 0.4325781543383158]
[8, '2023-07-19', '20:56:10', '1689800170.344312', 3.3382509999999995e-05, 0.35009115191523676, 0.2617554116705776, 0.37790650883420085]
[9, '2023-07-19', '21:33:31', '1689802411.840067', 3.342353e-05, 0.22764262240235666, 0.32989110965016266, 0.44995798252450925]
[10, '2023-07-19', '21:59:11', '1689803951.071344', 3.343565e-05, 0.16821753801224304, 0.2937488553834555, 0.4138592667619463]
[11, '2023-07-20', '01:45:32', '1689817532.671338', 3.335466e-05, 0.14227871960540028, 0.34368870662628126, 0.5012094473973576]
[12, '2023-07-20', '02:12:19', '1689819139.456993', 3.333424e-05, 0.09688320763575575, 0.40469912845671274, 0.5621234337214247]
[13, '2023-07-20', '02:48:17', '1689821297.311322', 3.3343299999999996e-05, 0.06973027905125662, 0.3913621121179176, 0.4737093010928106]
[14, '2023-07-20', '03:15:30', '1689822930.147753', 3.336175e-05, 0.25706436384346887, 0.3362452110003886, 0.41863796552028987]
[15, '2023-07-20', '03:51:07', '1689825067.339302', 3.33992e-05, 0.14509862644739258, 0.28352863383993565, 0.40062036750772734]
[16, '2023-07-20', '04:18:39', '1689826719.080977', 3.338638e-05, 0.20333824134660006, 0.32180395668940776, 0.43885074568709115]
[17, '2023-07-20', '04:54:00', '1689828840.191317', 3.339451e-05, 0.1790365093200137, 0.11647092869213793, 0.35636393183902726]
[18, '2023-07-20', '05:21:37', '1689830497.561841', 3.334139e-05, -0.050382599938885164, 0.27535372302773453, 0.5148651330227381]
[19, '2023-07-20', '05:57:01', '1689832621.779297', 3.320151e-05, 0.3693673720352848, 0.3878223746749967, 0.5008546193290897]
[20, '2023-07-20', '06:24:32', '1689834272.003338', 3.3223759999999996e-05, -0.00572815661689674, 0.32106724961703037, 0.4341752428573642]
[21, '2023-07-20', '07:00:23', '1689836423.475319', 3.3216250000000006e-05, 0.016877443064046815, 0.20925810262178857, 0.3710511539541699]
[22, '2023-07-20', '07:27:29', '1689838049.467298', 3.312606e-05, 0.09146774536721125, 0.4802136443137357, 0.6415673891229687]
[23, '2023-07-20', '08:03:50', '1689840230.428077', 3.310924e-05, 0.14219703561552421, 0.34447800908364457, 0.4938631084060745]
[24, '2023-07-20', '08:30:21', '1689841821.907303', 3.3133110000000004e-05, -0.10920638465773891, 0.2726316812934897, 0.42212447932240593]
[25, '2023-07-20', '09:07:23', '1689844043.17408', 3.309008e-05, 0.020805532446686925, 0.2018070507699008, 0.29009665946263397]
[26, '2023-07-20', '09:33:29', '1689845609.468542', 3.304213e-05, -0.09009163305439927, 0.3464220940673357, 0.43458376451583547]
[27, '2023-07-20', '10:10:42', '1689847842.015333', 3.291675e-05, 0.28970518055757566, 0.3801536674357209, 0.4653395371213378]
